DESCRIPCION,NOMBRE_FACULTAD,NOMBRE_PROGRAMA,JORNADA,MODALIDAD,NOMBRE_SEDE,TIPO_IDEN_EST,LUG_EXPEDICION,LUGAR_NACIMIENTO,FECHA_NACIMIENTO,SEXO,ESTRATO,NOMBRE_ESTADO
PRIMER  SEMESTRE DE 2019,CIENCIAS,BIOLOGIA,DIURNO,PRESENCIAL,TUNJA,C,DUITAMA,DUITAMA,06/17/1993 12:00:00 AM,M,2,RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019,CIENCIAS,BIOLOGIA,DIURNO,PRESENCIAL,TUNJA,C,,,12/25/1996 12:00:00 AM,M,1,RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019,CIENCIAS,BIOLOGIA,DIURNO,PRESENCIAL,TUNJA,C,TUNJA,TUNJA,02/02/1999 12:00:00 AM,F,5,RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019,CIENCIAS,BIOLOGIA,DIURNO,PRESENCIAL,TUNJA,C,TUNJA,TUNJA,08/02/1998 12:00:00 AM,F,2,RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019,CIENCIAS,BIOLOGIA,DIURNO,PRESENCIAL,TUNJA,C,,,02/25/1997 12:00:00 AM,M,3,RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019,CIENCIAS,FISICA,DIURNO,PRESENCIAL,TUNJA,C,,,07/12/1997 12:00:00 AM,M,1,RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019,CIENCIAS,FISICA,DIURNO,PRESENCIAL,TUNJA,T,TAURAMENA,TAURAMENA,12/02/2002 12:00:00 AM,M,2,RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019,CIENCIAS,FISICA,DIURNO,PRESENCIAL,TUNJA,C,,,06/14/1999 12:00:00 AM,M,2,RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019,CIENCIAS,FISICA,DIURNO,PRESENCIAL,TUNJA,C,,,02/20/1999 12:00:00 AM,M,3,RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019,CIENCIAS,FISICA,DIURNO,PRESENCIAL,TUNJA,C,DUITAMA,DUITAMA,11/07/1996 12:00:00 AM,M,3,RETIRADO CON CUPO RESERVADO
