DESCRIPCION;NOMBRE_FACULTAD;NOMBRE_PROGRAMA;JORNADA;MODALIDAD;NOMBRE_SEDE;TIPO_IDEN_EST;LUG_EXPEDICION;LUGAR_NACIMIENTO;FECHA_NACIMIENTO;SEXO;ESTRATO;NOMBRE_ESTADO
PRIMER  SEMESTRE DE 2019;CIENCIAS;BIOLOGIA;DIURNO;PRESENCIAL;TUNJA;C;DUITAMA;DUITAMA;06/17/1993 12:00:00 AM;M;2;RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019;CIENCIAS;BIOLOGIA;DIURNO;PRESENCIAL;TUNJA;C;DUITAMA;DUITAMA;12/25/1996 12:00:00 AM;M;1;NO MATRICULADO
PRIMER  SEMESTRE DE 2019;CIENCIAS;BIOLOGIA;DIURNO;PRESENCIAL;TUNJA;C;TUNJA;TIBASOSA;2/02/1999 0:00;F;5;RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019;CIENCIAS;BIOLOGIA;DIURNO;PRESENCIAL;TUNJA;C;TUNJA;VILLAPINZÓN;8/02/1998 0:00;F;2;RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019;CIENCIAS;BIOLOGIA;DIURNO;PRESENCIAL;TUNJA;C;;AQUITANIA;02/25/1997 12:00:00 AM;M;3;RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019;CIENCIAS;FISICA;DIURNO;PRESENCIAL;TUNJA;C;DUITAMA;DUITAMA;7/12/1997 0:00;M;1;RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019;CIENCIAS;FISICA;DIURNO;PRESENCIAL;TUNJA;T;TAURAMENA;SAN GIL;12/02/2002 0:00;M;2;RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019;CIENCIAS;FISICA;DIURNO;PRESENCIAL;TUNJA;C;SAN GIL;SAN GIL;06/14/1999 12:00:00 AM;M;2;RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019;CIENCIAS;FISICA;DIURNO;PRESENCIAL;TUNJA;C;;TUNJA;02/20/1999 12:00:00 AM;M;3;RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019;CIENCIAS;FISICA;DIURNO;PRESENCIAL;TUNJA;C;DUITAMA;DUITAMA;11/07/1996 0:00;M;3;RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019;CIENCIAS;FISICA;DIURNO;PRESENCIAL;TUNJA;T;GARAGOA;GARAGOA;02/29/2000 12:00:00 AM;M;3;RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019;CIENCIAS;FISICA;DIURNO;PRESENCIAL;TUNJA;C;FUSAGASUGÁ;FUSAGASUGÁ;10/29/1999 12:00:00 AM;M;3;RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019;CIENCIAS;MATEMATICAS;DIURNO;PRESENCIAL;TUNJA;C;;;7/01/1998 0:00;M;1;RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019;CIENCIAS;MATEMATICAS;DIURNO;PRESENCIAL;TUNJA;C;SOGAMOSO;SOGAMOSO;2/08/1999 0:00;F;2;RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019;CIENCIAS;MATEMATICAS;DIURNO;PRESENCIAL;TUNJA;T;;;4/04/2001 0:00;F;2;RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019;CIENCIAS;MATEMATICAS;DIURNO;PRESENCIAL;TUNJA;C;PAIPA;PAIPA;2/11/1993 0:00;M;2;RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019;CIENCIAS;MATEMATICAS;DIURNO;PRESENCIAL;TUNJA;T;TUNJA;TUNJA;06/21/2000 12:00:00 AM;F;1;RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019;CIENCIAS;MATEMATICAS;DIURNO;PRESENCIAL;TUNJA;C;TUNJA;TUNJA;10/24/1996 12:00:00 AM;F;1;RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019;CIENCIAS;QUIMICA;DIURNO;PRESENCIAL;TUNJA;C;TUNJA;TUNJA;10/22/1997 12:00:00 AM;F;1;RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019;CIENCIAS;QUIMICA;DIURNO;PRESENCIAL;TUNJA;C;;;05/26/1997 12:00:00 AM;M;3;RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019;CIENCIAS;QUIMICA;DIURNO;PRESENCIAL;TUNJA;C;PAIPA;PAIPA;5/10/1997 0:00;F;2;RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019;CIENCIAS;QUIMICA;DIURNO;PRESENCIAL;TUNJA;C;;;4/09/2000 0:00;F;2;RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019;CIENCIAS;QUIMICA;DIURNO;PRESENCIAL;TUNJA;C;TUNJA;TUNJA;01/18/2001 12:00:00 AM;M;3;RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019;CIENCIAS;QUIMICA;DIURNO;PRESENCIAL;TUNJA;C;DUITAMA;DUITAMA;6/07/1992 0:00;F;1;RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019;CIENCIAS;QUIMICA;DIURNO;PRESENCIAL;TUNJA;C;TUNJA;TUNJA;12/04/1997 0:00;F;3;NO MATRICULADO
PRIMER  SEMESTRE DE 2019;CIENCIAS;QUIMICA;DIURNO;PRESENCIAL;TUNJA;C;SOGAMOSO;SOGAMOSO;3/07/1997 0:00;F;2;NO MATRICULADO
PRIMER  SEMESTRE DE 2019;CIENCIAS;QUIMICA;DIURNO;PRESENCIAL;TUNJA;C;PAIPA;PAIPA;12/04/1999 0:00;M;3;RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019;CIENCIAS AGROPECUARIAS;INGENIERIA AGRONOMICA;DIURNO;PRESENCIAL;TUNJA;C;TUNJA;TUNJA;09/13/1996 12:00:00 AM;M;3;RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019;CIENCIAS AGROPECUARIAS;INGENIERIA AGRONOMICA;DIURNO;PRESENCIAL;TUNJA;C;MIRAFLORES;MIRAFLORES;09/23/1998 12:00:00 AM;M;2;RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019;CIENCIAS AGROPECUARIAS;INGENIERIA AGRONOMICA;DIURNO;PRESENCIAL;TUNJA;T;FUSAGASUGÃ;FUSAGASUGÃ;05/13/2001 12:00:00 AM;F;1;NO MATRICULADO
PRIMER  SEMESTRE DE 2019;CIENCIAS AGROPECUARIAS;INGENIERIA AGRONOMICA;DIURNO;PRESENCIAL;TUNJA;C;TUNJA;TUNJA;3/02/1995 0:00;M;2;RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019;CIENCIAS AGROPECUARIAS;INGENIERIA AGRONOMICA;DIURNO;PRESENCIAL;TUNJA;C;PAZ DE ARIPORO;PAZ DE ARIPORO;8/01/1995 0:00;M;2;NO MATRICULADO
PRIMER  SEMESTRE DE 2019;CIENCIAS AGROPECUARIAS;INGENIERIA AGRONOMICA;DIURNO;PRESENCIAL;TUNJA;C;TUNJA;TUNJA;05/16/1998 12:00:00 AM;M;1;RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019;CIENCIAS AGROPECUARIAS;INGENIERIA AGRONOMICA;DIURNO;PRESENCIAL;TUNJA;C;PAZ DE ARIPORO;PAZ DE ARIPORO;06/19/1992 12:00:00 AM;F;2;NO MATRICULADO
PRIMER  SEMESTRE DE 2019;CIENCIAS AGROPECUARIAS;INGENIERIA AGRONOMICA;DIURNO;PRESENCIAL;TUNJA;T;DUITAMA;DUITAMA;6/02/2001 0:00;F;3;RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019;CIENCIAS AGROPECUARIAS;INGENIERIA AGRONOMICA;DIURNO;PRESENCIAL;TUNJA;C;FIRAVITOBA;FIRAVITOBA;02/13/1996 12:00:00 AM;F;1;RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019;CIENCIAS AGROPECUARIAS;INGENIERIA AGRONOMICA;DIURNO;PRESENCIAL;TUNJA;C;TUNJA;TUNJA;05/14/1998 12:00:00 AM;M;3;RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019;CIENCIAS AGROPECUARIAS;INGENIERIA AGRONOMICA;DIURNO;PRESENCIAL;TUNJA;C;PAZ DE ARIPORO;PAZ DE ARIPORO;05/13/1998 12:00:00 AM;M;2;NO MATRICULADO
PRIMER  SEMESTRE DE 2019;CIENCIAS AGROPECUARIAS;INGENIERIA AGRONOMICA;DIURNO;PRESENCIAL;TUNJA;C;SOGAMOSO;SOGAMOSO;10/25/1996 12:00:00 AM;M;2;NO MATRICULADO
PRIMER  SEMESTRE DE 2019;CIENCIAS AGROPECUARIAS;INGENIERIA AGRONOMICA;DIURNO;PRESENCIAL;TUNJA;C;TUNJA;TUNJA;02/28/2000 12:00:00 AM;M;3;RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019;CIENCIAS AGROPECUARIAS;INGENIERIA AGRONOMICA;DIURNO;PRESENCIAL;TUNJA;C;SOGAMOSO;SOGAMOSO;4/09/1996 0:00;M;2;NO MATRICULADO
PRIMER  SEMESTRE DE 2019;CIENCIAS AGROPECUARIAS;INGENIERIA AGRONOMICA;DIURNO;PRESENCIAL;TUNJA;C;FUSAGASUGÃ;FUSAGASUGÃ;06/22/1995 12:00:00 AM;F;1;NO MATRICULADO
PRIMER  SEMESTRE DE 2019;CIENCIAS AGROPECUARIAS;INGENIERIA AGRONOMICA;DIURNO;PRESENCIAL;TUNJA;C;SOGAMOSO;SOGAMOSO;11/02/2000 0:00;M;2;NO MATRICULADO
PRIMER  SEMESTRE DE 2019;CIENCIAS AGROPECUARIAS;INGENIERIA AGRONOMICA;DIURNO;PRESENCIAL;TUNJA;C;TUNJA;TUNJA;04/30/1999 12:00:00 AM;M;2;RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019;CIENCIAS AGROPECUARIAS;INGENIERIA AGRONOMICA;DIURNO;PRESENCIAL;TUNJA;C;;;07/13/1996 12:00:00 AM;M;1;RETIRADO CON CUPO RESERVADO
PRIMER  SEMESTRE DE 2019;CIENCIAS AGROPECUARIAS;INGENIERIA AGRONOMICA;DIURNO;PRESENCIAL;TUNJA;C;;;10/11/1997 0:00;M;2;RETIRADO CON CUPO RESERVADO
