ESTU_GENERO;FAMI_VIVIENDA;FAMI_EDUCACIONPADRE;FAMI_EDUCACIONMADRE;FAMI_TRABAJOLABORPADRE;FAMI_TRABAJOLABORMADRE;FAMI_TIENEINTERNET;FAMI_TIENECOMPUTADOR;FAMI_NUMLIBROS;FAMI_SITUACIONECONOMICA;ESTU_DEDICACIONLECTURADIARIA;ESTU_DEDICACIONINTERNET;COLE_NATURALEZA;COLE_CALENDARIO;COLE_BILINGUE;COLE_AREA_UBICACION;COLE_JORNADA;PUNT_LECTURA_CRITICA;PUNT_MATEMATICAS;PUNT_C_NATURALES;PUNT_SOCIALES_CIUDADANAS;PUNT_INGLES;PUNT_GLOBAL
M;2;Primaria;Primaria;;;Si;;11 A 25 LIBROS;;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;61;72;66;70;61;334
M;Estrato 1;Bachillerato;profesional;Empleado;Empleado;Si;No;26 A 100 LIBROS;Peor;Entre 30 y 60 minutos;Mas de 3 horas;NO OFICIAL;A;N;URBANO;MAÑANA;68;72;63;67;60;335
M;;Ninguno;Ninguno;Empleado;Empleado;No;No;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;37;48;29;36;29;184
F;Estrato 3;Bachillerato;Tecnica o tecnoligica;Empleado;Empleado;Si;Si;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;UNICA;62;62;64;52;64;302
M;Sin Estrato;Primaria;Ninguno;;;No;;0 A 10 LIBROS;;No leo por entretenimiento;No Navega Internet;OFICIAL;A;N;URBANO;MAÑANA;53;45;48;40;43;231
F;Estrato 4;Postgrado;Postgrado;Empleado;Empleado;Si;Si;MAS DE 100 LIBROS;Igual;Entre 30 y 60 minutos;Mas de 3 horas;NO OFICIAL;A;N;URBANO;MAÑANA;65;52;62;57;62;296
M;;;;;;;;;;;;OFICIAL;A;N;RURAL;MAÑANA;55;45;45;40;32;226
F;Estrato 4;Bachillerato;profesional;Empleado;Empleado;Si;Si;26 A 100 LIBROS;Mejor;No leo por entretenimiento;Entre 30 y 60 minutos;NO OFICIAL;A;S;URBANO;MAÑANA;57;51;44;37;52;238
F;Estrato 2;Bachillerato;profesional;Empleado;Empleado;Si;Si;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;RURAL;MAÑANA;51;44;48;38;44;226
F;2;profesional;profesional;Empleado;Empleado;Si;Si;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;NO OFICIAL;A;N;URBANO;MAÑANA;62;57;60;67;64;308
F;Estrato 5;Bachillerato;Bachillerato;Empleado;Empleado;Si;No;26 A 100 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;55;38;44;42;53;227
M;2;Ninguno;Bachillerato;Ninguno;Empleado;Si;Si;0 A 10 LIBROS;Peor;Entre 1 y 3 horas;Entre 1 y 3 horas;NO OFICIAL;B;N;URBANO;SABATINA;65;68;54;55;51;299
M;Estrato 1;Primaria;Primaria;Empleado;Empleado;Si;No;0 A 10 LIBROS;Peor;No leo por entretenimiento;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;MAÑANA;45;44;54;39;50;229
F;Estrato 1;profesional;profesional;Empleado;Empleado;Si;Si;26 A 100 LIBROS;Igual;Mas de 2 horas;Entre 1 y 3 horas;NO OFICIAL;A;N;URBANO;MAÑANA;65;72;62;62;62;325
M;Estrato 2;Primaria;Primaria;Empleado;Empleado;No;No;26 A 100 LIBROS;Peor;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;67;61;56;56;49;296
F;3;profesional;Tecnica o tecnoligica;Empleado;Empleado;Si;Si;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;NO OFICIAL;A;N;URBANO;MAÑANA;66;66;59;54;79;313
M;Estrato 1;Bachillerato;Bachillerato;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;62;67;64;66;58;321
M;Estrato 2;Bachillerato;Bachillerato;Empleado;Empleado;Si;No;26 A 100 LIBROS;Peor;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;MAÑANA;41;55;52;39;49;235
M;Estrato 2;Primaria;Primaria;Empleado;Empleado;Si;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;48;52;51;40;54;241
M;Estrato 3;Bachillerato;Bachillerato;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;TARDE;42;52;37;33;33;202
M;Estrato 1;Primaria;Bachillerato;Empleado;Empleado;Si;No;11 A 25 LIBROS;Peor;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;RURAL;UNICA;45;48;49;44;47;233
M;Estrato 1;Bachillerato;Bachillerato;Empleado;Empleado;Si;No;0 A 10 LIBROS;Igual;Entre 30 y 60 minutos;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;67;71;75;72;73;357
M;Estrato 1;profesional;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;No leo por entretenimiento;Mas de 3 horas;OFICIAL;A;N;URBANO;MAÑANA;53;60;54;51;42;268
M;Estrato 1;Bachillerato;Bachillerato;Empleado;;Si;Si;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;57;70;67;61;47;312
F;Estrato 1;Bachillerato;profesional;Ninguno;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;No Navega Internet;OFICIAL;A;N;URBANO;MAÑANA;49;38;42;47;31;215
M;Sin Estrato;Bachillerato;Primaria;Empleado;Empleado;Si;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;RURAL;MAÑANA;38;72;53;43;43;254
M;;;;;;;;;;;;OFICIAL;A;N;URBANO;MAÑANA;42;52;44;53;41;236
M;Sin Estrato;Primaria;Primaria;Empleado;Empleado;No;No;26 A 100 LIBROS;Peor;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;41;53;43;36;46;217
M;Estrato 2;Ninguno;Ninguno;Empleado;Empleado;Si;No;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;TARDE;41;39;35;30;35;181
M;Estrato 1;Primaria;Bachillerato;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;No leo por entretenimiento;No Navega Internet;OFICIAL;A;N;RURAL;MAÑANA;47;45;46;40;33;218
M;1;Bachillerato;Bachillerato;Empleado;Empleado;Si;Si;11 A 25 LIBROS;Igual;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;61;63;60;61;76;312
M;Estrato 1;Ninguno;Ninguno;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;MAÑANA;50;62;48;45;45;254
M;Estrato 1;Primaria;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 30 y 60 minutos;Entre 30 y 60 minutos;OFICIAL;A;N;RURAL;MAÑANA;51;40;41;47;44;223
