ESTU_GENERO;ESTU_AREARESIDE;ESTU_VALORMATRICULAUNIVERSIDAD;ESTU_PAGOMATRICULABECA;ESTU_PAGOMATRICULACREDITO;ESTU_PAGOMATRICULAPADRES;ESTU_PAGOMATRICULAPROPIO;ESTU_COMOCAPACITOEXAMENSB11;FAMI_EDUCACIONPADRE;FAMI_EDUCACIONMADRE;FAMI_VIVIENDA;FAMI_TIENEINTERNET;FAMI_TIENECOMPUTADOR;FAMI_TRABAJOLABORPADRE;FAMI_TRABAJOLABORMADRE;ESTU_HORASSEMANATRABAJA;ESTU_PRGM_ACADEMICO;MOD_RAZONA_CUANTITAT_PUNT;MOD_LECTURA_CRITICA_PUNT;MOD_COMPETEN_CIUDADA_PUNT;MOD_INGLES_PUNT;MOD_COMUNI_ESCRITA_PUNT;PUNT_GLOBAL
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Toma un curso de preparacion;Ninguno;Secundaria (Bachillerato) completa;1;Si;Si;Ninguno;Es operario de maquinas o conduce vehiculos (taxita, chofer);0;LICENCIATURA EN CIENCIAS SOCIALES;135;144;174;170;212;167
M;Cabecera Municipal;Menos de 500 mil;Si;Si;No;Si;Repasa por cuenta propia;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;2;Si;Si;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;No aplica;Entre 11 y 20 horas;LICENCIATURA EN CIENCIAS SOCIALES;139;157;179;150;139;153
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;Si;Toma un curso de preparacion;Ninguno;Secundaria (Bachillerato) completa;1;Si;Si;Ninguno;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;0;LICENCIATURA EN CIENCIAS SOCIALES;136;148;107;113;169;135
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;Si;Toma un curso de preparacion;Secundaria (Bachillerato) incompleta;Primaria incompleta;2;No;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja por cuenta propia (por ejemplo plomero, electricista);Entre 11 y 20 horas;LICENCIATURA EN CIENCIAS SOCIALES;122;182;176;177;141;160
M;Cabecera Municipal;Menos de 500 mil;No;No;No;Si;Repasa por cuenta propia;Secundaria (Bachillerato) incompleta;Primaria incompleta;1;Si;Si;Es vendedor o trabaja en atencion al publico;Trabaja en el hogar, no trabaja o estudia;Entre 21 y 30 horas;LICENCIATURA EN CIENCIAS SOCIALES;155;193;205;137;114;161
F;Cabecera Municipal;Menos de 500 mil;Si;Si;No;Si;Repasa por cuenta propia;Primaria incompleta;Primaria incompleta;1;Si;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja por cuenta propia (por ejemplo plomero, electricista);Entre 11 y 20 horas;LICENCIATURA EN CIENCIAS SOCIALES;139;161;134;160;188;156
F;Cabecera Municipal;Menos de 500 mil;Si;No;Si;No;Toma un curso de preparacion;Primaria incompleta;Secundaria (Bachillerato) completa;2;Si;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja en el hogar, no trabaja o estudia;Entre 21 y 30 horas;LICENCIATURA EN CIENCIAS SOCIALES;159;157;163;160;209;170
F;Cabecera Municipal;Menos de 500 mil;No;Si;No;Si;Repasa por cuenta propia;Primaria completa;Tecnica o tecnologica completa;1;Si;Si;Es agricultor, pesquero o jornalero;Trabaja como personal de limpieza, mantenimiento, seguridad o construcci贸n;Menos de 10 horas;LICENCIATURA EN CIENCIAS SOCIALES;88;182;122;106;168;133
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Toma un curso de preparacion;Primaria incompleta;Secundaria (Bachillerato) completa;1;Si;Si;Es vendedor o trabaja en atencion al publico;Trabaja en el hogar, no trabaja o estudia;Entre 21 y 30 horas;LICENCIATURA EN CIENCIAS SOCIALES;133;191;182;89;173;154
F;Cabecera Municipal;Menos de 500 mil;Si;No;Si;No;Toma un curso de preparacion;Primaria incompleta;Primaria incompleta;1;Si;Si;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;LICENCIATURA EN CIENCIAS SOCIALES;126;144;165;138;146;144
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Toma un curso de preparacion;;;;;;;;;LICENCIATURA EN CIENCIAS SOCIALES;126;200;109;0;110;109
M;Cabecera Municipal;Menos de 500 mil;Si;No;No;Si;Repasa por cuenta propia;Primaria incompleta;Primaria incompleta;1;No;Si;Es agricultor, pesquero o jornalero;Es agricultor, pesquero o jornalero;Entre 11 y 20 horas;LICENCIATURA EN CIENCIAS SOCIALES;120;133;109;131;133;125
F;Area Rural;Menos de 500 mil;Si;No;Si;No;Toma un curso de preparacion;Ninguno;Primaria completa;1;No;Si;Pensionado;Ninguno;Menos de 10 horas;LICENCIATURA EN CIENCIAS SOCIALES;109;167;92;120;176;133
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Toma un curso de preparacion;;;;;;;;;LICENCIATURA EN CIENCIAS SOCIALES;173;168;164;118;160;157
M;Cabecera Municipal;Menos de 500 mil;Si;No;Si;No;Toma un curso de preparacion;Tecnica o tecnologica completa;Educacion profesional completa;2;Si;Si;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;LICENCIATURA EN CIENCIAS SOCIALES;113;164;179;164;181;160
F;Cabecera Municipal;Menos de 500 mil;Si;No;Si;No;Toma un curso de preparacion;Primaria incompleta;Tecnica o tecnologica completa;1;No;No;;;Menos de 10 horas;LICENCIATURA EN CIENCIAS SOCIALES;138;141;140;105;164;138
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Toma un curso de preparacion;Primaria completa;Secundaria (Bachillerato) incompleta;2;No;No;Es operario de maquinas o conduce vehiculos (taxita, chofer);Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;LICENCIATURA EN CIENCIAS SOCIALES;126;181;166;149;188;162
M;Cabecera Municipal;Menos de 500 mil;No;Si;No;No;Repasa por cuenta propia;Secundaria (Bachillerato) completa;Tecnica o tecnologica completa;2;Si;No;Es agricultor, pesquero o jornalero;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Entre 21 y 30 horas;LICENCIATURA EN CIENCIAS SOCIALES;126;174;151;130;145;145
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;Si;Toma un curso de preparacion;Primaria incompleta;Primaria incompleta;2;No;Si;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;0;LICENCIATURA EN CIENCIAS SOCIALES;166;187;186;128;195;172
